ind_name,candidate_count
Non-24 hour sleep-wake cycle,1
Human epidermal growth factor 2 negative carcinoma of breast,1
Epithelial tumor of ovary,1
Embolism,1
Follicular thyroid carcinoma,1
Papillary thyroid carcinoma,1
"Optic Atrophy, Hereditary, Leber",1
Hypophosphatasia,1
Infantile Severe Myoclonic Epilepsy,1
Renal tubular acidosis,1
RENAL CALCULUS CALCIUM OXALATE,1
Heparin overdose,1
Hereditary orotic aciduria,1
Antimetabolite overdose,1
Hereditary C1 esterase inhibitor deficiency - deficient factor,1
Drug-induced coagulation inhibitor disorder,1
Gastric spasm (disorder),1
Hereditary factor XIII A subunit deficiency,1
Zinc deficiency,1
"Jaundice, Obstructive",1
Necrotizing Ulcerative Gingivitis,1
Acneiform Eruptions,1
Paralytic Ileus,1
Contact dermatitis due to Rhus diversiloba,1
Eczema,1
Wolman Disease,1
"Carcinoma, Transitional Cell",1
"Factor 8 deficiency, acquired",1
Cocaine-Related Disorders,1
Sensorineural Hearing Loss (disorder),1
Carotid Artery Diseases,1
Intracranial Arteriosclerosis,1
Heart Diseases,1
Pure Red-Cell Aplasia,1
"Infant, Small for Gestational Age",1
Pregnancy Complications,1
Oral Complication,1
Primary Systemic Amyloidosis,1
Acute GVH disease,1
Hemoglobinopathies,1
Thalassemia,1
Hematologic Neoplasms,1
thorax/respiratory cancer,1
adult solid tumor,1
kidney/urinary cancer,1
male reproductive cancer,1
Hypoxemia,1
"Acidosis, Respiratory",1
Anoxemia,1
Graft failure,1
adult primary hepatocellular carcinoma,1
Invasive Fungal Infections,1
Basal Cell Nevus Syndrome,1
childhood chronic myelogenous leukemia,1
Childhood myelodysplastic syndrome,1
recurrent childhood acute myeloid leukemia,1
Cutaneous T-cell lymphoma stage I,1
Mycosis fungoides/Sezary syndrome stage I,1
Cutaneous T-cell lymphoma stage II,1
Mycosis fungoides/Sezary syndrome stage II,1
"Lymphoma, Mixed-Cell, Follicular",1
Reperfusion Injury,1
Critical limb ischemia,1
Foot Ulcer,1
Dental caries,1
Stage IA Non-Small Cell Lung Carcinoma,1
Stage IB Non-Small Cell Lung Carcinoma,1
Stage IIA Non-Small Cell Lung Carcinoma,1
Drug toxicity,1
Glucagonoma,1
pancreatic polypeptide tumor,1
Carcinoid tumor of lung,1
recurrent gastrointestinal carcinoid tumor,1
recurrent islet cell carcinoma,1
regional gastrointestinal carcinoid tumor,1
Polyneuropathy,1
Human immunodeficiency virus I infection,1
"Lipid Metabolism, Inborn Errors",1
adult grade III lymphomatoid granulomatosis,1
stage III adult diffuse mixed cell lymphoma,1
stage III adult diffuse small cleaved cell lymphoma,1
stage III adult Hodgkin's lymphoma,1
stage III adult immunoblastic large cell lymphoma,1
stage III adult lymphoblastic lymphoma,1
Adult T-cell lymphoma/leukaemia stage III,1
stage III grade 1 follicular lymphoma,1
stage III grade 2 follicular lymphoma,1
stage III grade 3 follicular lymphoma,1
Mantle cell lymphoma stage III,1
Marginal zone lymphoma stage III,1
AIDS-related peripheral/systemic lymphoma,1
Bladder Adenocarcinoma,1
Bladder Squamous Cell Carcinoma,1
Transitional cell carcinoma of bladder,1
Bladder cancer recurrent,1
Bladder cancer stage II,1
Brain Ischemia,1
Acute Disease,1
High-Grade Squamous Intraepithelial Lesions,1
Stomatitis,1
Bronchioloalveolar Adenocarcinoma,1
BK virus nephropathy,1
Pre-Eclampsia,1
HIV-Associated Lipodystrophy Syndrome,1
Treatment related secondary malignancy,1
Proliferative diabetic retinopathy,1
"Hepatitis, Alcoholic",1
"Purpura, Thrombotic Thrombocytopenic",1
Immune thrombocytopenic purpura,1
Asthenia,1
Chemotherapy-induced peripheral neuropathy,1
Non-cyclical mastalgia,1
Lung Neoplasms,1
Metabolic Syndrome X,1
Sexually Transmitted Diseases,1
Carpal Tunnel Syndrome,1
"Leukemia, Large Granular Lymphocytic",1
Toxic Epidermal Necrolysis,1
Urinary Bladder Diseases,1
Urologic Diseases,1
Diabetic Angiopathies,1
Unipolar Depression,1
Sudden Cardiac Death,1
Carotid Stenosis,1
Chronic intractable pain,1
adult brain tumor,1
Breakthrough Pain,1
Acute Undifferentiated Leukemia,1
"Leukemia, Mast-Cell",1
meningeal chronic myelogenous leukemia,1
Primary Myelofibrosis,1
"progressive hairy cell leukemia, initial treatment",1
untreated hairy cell leukemia,1
cervical cancer,1
Pancreatic Endocrine Carcinoma,1
Pancreatic carcinoma,1
Malignant Peripheral Nerve Sheath Tumor,1
Churg-Strauss Syndrome,1
Recurrent disease,1
"Muscular Atrophy, Spinal, Type II",1
Juvenile Spinal Muscular Atrophy,1
Venous Thromboembolism,1
Phantom Limb Syndrome,1
Pemphigus Vulgaris,1
transvaginal ultrasound: length of cervix,1
Kidney Failure,1
Substance Dependence,1
Coronary Artery Vasospasm,1
HMN (Hereditary Motor Neuropathy) Proximal Type I,1
"Lymphoma, Diffuse",1
Microalbuminuria,1
Corneal Diseases,1
"Epilepsy, Post-Traumatic",1
Chronic rejection of renal transplant,1
Kaposi's sarcoma classical type,1
Pancreatic Cyst,1
Postoperative Nausea and Vomiting,1
Lead Poisoning,1
Pancreatic Neoplasm,1
"Mammary Carcinoma, Human",1
"Pneumonia, Ventilator-Associated",1
Congenital Heart Defects,1
Varicose Ulcer,1
Priapism,1
"Leukoplakia, Oral",1
Ventricular hemorrhage,1
"Leukomalacia, Periventricular",1
Bronchiolitis,1
Canavan Disease,1
Severe persistent asthma,1
Sarcopenia,1
Bladder dysfunction,1
Primary central nervous system lymphoma,1
Cervical Intraepithelial Neoplasia,1
progressive keratoconus,1
Corneal ectasia,1
Pregnancy in Adolescence,1
"Leukoencephalopathy, Progressive Multifocal",1
MRSA - Methicillin resistant Staphylococcus aureus infection,1
Chronic ulcer of lower extremity,1
Radiation proctitis,1
Meningeal Carcinomatosis,1
Smoker,1
Refractory Brain Neoplasm,1
Spinal Cord Injuries,1
Orofacial Pain,1
Vulvodynia,1
"Affective Disorders, Psychotic",1
"Fetal Membranes, Premature Rupture",1
Giant Cell Tumor of Bone,1
Body Weight Changes,1
Liver cell carcinoma non-resectable,1
Hepatoma recurrent,1
Neoplasms by Histologic Type,1
"Neoplasms, Glandular and Epithelial",1
Dyskeratosis Congenita,1
"Myasthenia Gravis, Ocular",1
"Fibromatosis, Aggressive",1
Fibromatosis,1
Plasmodium falciparum infection,1
Cancer anemia,1
Hemangioblastoma,1
Von Hippel-Lindau Syndrome,1
High Grade Sarcoma,1
Cervical carcinoma stage IB,1
Cervix carcinoma stage III,1
Malignant glioma of brain,1
Recurrent respiratory papillomatosis,1
Uterine Cervicitis,1
Hypoxic respiratory failure,1
Carcinomatosis of peritoneal cavity,1
Smith-Lemli-Opitz Syndrome,1
"Chondrodysplasia punctata, X-linked dominant type",1
Helicobacter pylori infection,1
Hepatobiliary neoplasm,1
Progressive supranuclear palsy,1
Renal cancer metastatic,1
"transplant; failure, kidney",1
Post-surgical hypoparathyroidism,1
Chronic urticaria,1
"Glaucoma, Primary Open Angle",1
advanced disease,1
Hormone-Resistant Prostate Cancer,1
Ependymoma,1
Lung transplant recipient,1
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1
Drug Dependence,1
function of renal transplant,1
Primary fibromyalgia syndrome,1
"Hyperparathyroidism, Primary",1
Other acute postoperative pain,1
INTUBATION ENDOTRACHEAL PROLONGED,1
Alcohol problem,1
AOD misuse,1
"Fibromyalgia, Primary",1
Threatened premature labor,1
alcohol sensitivity,1
Malignant Childhood Neoplasm,1
Metabolic Diseases,1
Inflammatory disorder,1
Neonatal Abstinence Syndrome,1
Bronchiolitis Obliterans,1
Disorder of transplanted kidney,1
Dystocia,1
Plexiform Neurofibroma,1
Pathological Dilatation,1
Persistent pulmonary hypertension,1
Craving for alcohol,1
Mood swings,1
Nasopharyngeal carcinoma,1
Deglutition Disorders,1
Type 2 diabetes mellitus with established diabetic nephropathy,1
"Depressive episode, unspecified",1
Disorder of vitamin C,1
Growth Hormone Secretion Abnormality,1
Clostridium difficile diarrhea,1
Asperger Syndrome,1
"Subarachnoid Hemorrhage, Aneurysmal",1
Granulosa cell tumor of the ovary,1
Inflammatory disease of mucous membrane,1
alcohol use disorder,1
Heparin-induced thrombocytopenia,1
Retinal Diseases,1
Hyperalgesia,1
Allodynia,1
"Optic Neuropathy, Ischemic",1
Anterior Ischemic Optic Neuropathy,1
Missed abortion,1
"Heart Failure, Systolic",1
"Sleep Apnea, Obstructive",1
Stage IVA Laryngeal Squamous Cell Carcinoma,1
Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma,1
Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma,1
Stage IVA Laryngeal Verrucous Carcinoma,1
Stage IVA Oral Cavity Verrucous Carcinoma,1
Stage IVB Laryngeal Squamous Cell Carcinoma,1
Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma,1
Stage IVB Oropharyngeal Squamous Cell Carcinoma,1
Stage IVB Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma,1
Stage IVB Laryngeal Verrucous Carcinoma,1
Stage IVB Oral Cavity Verrucous Carcinoma,1
Stage IVC Laryngeal Squamous Cell Carcinoma,1
Stage IVC Lip and Oral Cavity Squamous Cell Carcinoma,1
Stage IVC Oropharyngeal Squamous Cell Carcinoma,1
Stage IVC Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma,1
Stage IVC Laryngeal Verrucous Carcinoma,1
Stage IVC Oral Cavity Verrucous Carcinoma,1
Stuttering,1
Bronchopulmonary Dysplasia,1
Acute gastroenteritis,1
heavy drinking,1
Membranous glomerulonephritis,1
Surgical Wound Infection,1
Laryngomalacia,1
Rhinosinusitis,1
Fallopian Tube Carcinoma,1
Retinitis Pigmentosa,1
Inhalation injury,1
Influenza due to Influenza A virus subtype H1N1,1
"Histiocytosis, Langerhans-Cell",1
Antiphospholipid Syndrome,1
Cerebral Vasospasm,1
adult central nervous system germ cell tumor,1
Adult teratoma,1
Malignant Extragonadal Germ Cell Tumor,1
Malignant Extragonadal Non-Seminomatous Germ Cell Tumor,1
Extragonadal Seminoma,1
Testis cancer recurrent,1
Stage IV Extragonadal Non-Seminomatous Germ Cell Tumor,1
Stage IV Extragonadal Seminoma,1
Ovarian germ cell cancer stage IV,1
Thyroid Neoplasm,1
"viral; infection, enterovirus",1
colorectal disorders,1
childhood brain tumor,1
primary disorders,1
"ENCEPHALOPATHY, HYPOXIC-ISCHEMIC, NEWBORN",1
"Carcinoma, Neuroendocrine",1
Pituitary-dependent Cushing's disease,1
Non-ischemic cardiomyopathy,1
Calcinosis cutis,1
"Liposarcoma, Dedifferentiated",1
Transfusion hemosiderosis,1
Iron Metabolism Disorders,1
Stage IA Pancreatic Cancer,1
Stage IB Pancreatic Cancer,1
Stage IIA Pancreatic Cancer,1
Stage IIB Pancreatic Cancer,1
Castration-resistant prostate cancer,1
Non-Hodgkin's lymphoma of central nervous system,1
Cancer of Urinary Tract,1
Colorectal cancer recurrent,1
Stage IIIA Colorectal Cancer,1
Stage IIIB Colorectal Cancer,1
Stage IIIC Colorectal Cancer,1
Stage IVA Colorectal Cancer,1
Stage IVB Colorectal Cancer,1
Squamous cell carcinoma of skin,1
Cardiomyopathies,1
Vascular inflammations,1
Anterior Cruciate Ligament Injuries,1
Isolated systolic hypertension,1
hepatic complications,1
Hereditary hemorrhagic telangiectasia,1
Noninfiltrating Intraductal Carcinoma,1
Poorly Differentiated Thyroid Carcinoma,1
Stage IVA Thyroid Gland Follicular Carcinoma,1
Stage IVA Thyroid Gland Papillary Carcinoma,1
Stage IVB Thyroid Gland Follicular Carcinoma,1
Stage IVB Thyroid Gland Papillary Carcinoma,1
Stage IVC Thyroid Gland Follicular Carcinoma,1
Stage IVC Thyroid Gland Papillary Carcinoma,1
Metastatic osteosarcoma,1
Osteosarcoma recurrent,1
Conduct Disorder,1
Non-alcoholic Fatty Liver Disease,1
Vaginal ulcer,1
